Symbol,Desc,insCode,insID,groupCode
تپولا,مهندسي مرآت پولاد,22308305646551497,IRO7TPOP0001,74 
بكام,كارخانجات توليدي شهيد قندي,22382156782768756,IRO1KGND0001,31 
فافق,صنايع مس افق كرمان,22424135367941584,IRO7OKCZ0001,27 
تمحركه,ماشين سازي نيرو محركه,22427604495160869,IRO7NMTP0001,29 
وآوا,سرمايه گذاري آوا نوين,22490169030401337,IRO3ANIZ0001,56 
تاپيكو,س. نفت و گاز و پتروشيمي تأمين,22560050433388046,IRO1PTAP0001,44 
شبهرن,نفت‌ بهران‌,22667016906590506,IRO1NBEH0001,23 
اخابر,مخابرات ايران,22811176775480091,IRO1MKBT0001,64 
ختراك,ريخته‌گري‌ تراكتورسازي‌ ايران‌,22903901709044823,IRO1RTIR0001,34 
كپرور,فرآوري زغال سنگ پروده طبس,22941065011246116,IRO3TBSZ0001,10 
نتوس,پشم‌ بافي‌ توس,22950683624908253,IRO7PTOP0001,17 
خودكفا,اقتصادي و خودكفايي آزادگان,22956708386610464,IRO7KHDP0001,42 
خفولا,خدمات فني فولاد يزد,23049019886587905,IRO7KHEP0001,74 
ولغدر,ليزينگ‌خودروغدير,23086515493897579,IRO1LKGH0001,58 
وسالت,بانك قرض الحسنه رسالت,23175320865252772,IRO7SALP0001,57 
وتوكا2,سرمايه‌گذاري‌توكافولاد(هلدينگ,23207524474363613,IRO1TOKA0002,27 
پكرمان,گروه‌ صنعتي‌ بارز,23214828924506640,IRO1BARZ0001,25 
جوين,كشت و صنعت جوين,23269285154135003,IRO7JAIP0001,01 
تاصيكو,سرمايه گذاري صدرتامين,23293437377896568,IRO1SADR0001,13 
دكوثر,داروسازي‌ كوثر,23353689102956991,IRO1DKSR0001,43 
كتوسعه,توسعه صنايع و معادن كوثر,23374429962331387,IRO3KOMZ0001,14 
پارسان,گسترش نفت و گاز پارسيان,23441366113375722,IRO1PASN0001,44 
قچار,فراوردههاي غذايي وقند چهارمحال,23600798892801694,IRO3CHRZ0001,38 
كفرا,فراورده‌ هاي‌ نسوزايران‌,23837844039713715,IRO1NASI0001,54 
بايكا,كارخانجات كابلسازي ‌ايران‌,23891830829322971,IRO7KBLP0001,31 
چافست,افست‌,23936607891892333,IRO1OFST0001,22 
پدرخش,درخشان‌ تهران‌,24079409192818584,IRO1DRKH0001,25 
كترام,توليدي‌ كاشي‌ تكسرام‌,24085906177899789,IRO1TKSM0001,49 
وآرين,شركت توسعه اقتصادي آرين,24212636157410845,IRO7ARNP0001,56 
چكاوه,صنايع‌كاغذسازي‌كاوه‌,24254843881948059,IRO1KSKA0001,21 
غالبر,لبنيات‌ كالبر,24303422207378456,IRO1KLBR0001,42 
وملل,اعتباري ملل,24644999329120295,IRO3ASKZ0001,57 
تاصيكو2,سرمايه گذاري صدرتامين,24651304184097917,IRO1SADR0002,13 
وسنا,سرمايه گذاري نيروگاهي ايران,24662567615903665,IRO7SNAP0001,56 
وپويا,سرمايه گذاري پويا,24785665268004766,IRO3PIVZ0001,56 
سباقر,سيمان باقران,24807173016704795,IRO7CBBP0001,53 
كساوه,صنايع‌ كاشي‌ و سراميك‌ سينا,25001509088465005,IRO1SINA0001,49 
مرقام,ايران ارقام,25020657188512139,IRO7IAGM0001,72 
زدشت,كشت و صنعت دشت خرم دره,25180702353416009,IRO3DKHZ0001,01 
خپارس,پارس خودرو,25211433301660888,IRO7PKOD0001,34 
